,name,product_url,rating,reviews,price,product_type
0,"Betron DC950HI Earbuds, Noise Isolating in Ear Headphones with Mic and Remote Control, Powerful Bass, Replaceable Ear Buds, Compatible with iPhone, iPad, Samsung and Tablets, Black",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0728958TKAYVL2TQ51I&url=%2FBetron-Headphones-Earphones-Isolating-Microphone%2Fdp%2FB00N771OEE%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1592489127%26sr%3D8-1-spons%26psc%3D1&qualifier=1592489126&id=8562620905501404&widgetName=sp_atf,4.2 out of 5 stars,"4,093",$12.99,Headphones
1,"Bluetooth Headphones,Tuinyo Wireless Headphones Over Ear with Microphone, Foldable & Lightweight Stereo Wireless Headset for Travel Work TV PC Cellphone- Rose Gold",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_2?ie=UTF8&adId=A0517968372YQIZ73FMVL&url=%2FBluetooth-Headphones-Microphone-Lightweight-Cellphone%2Fdp%2FB07ZBJPYRK%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1592489127%26sr%3D8-2-spons%26psc%3D1%26smid%3DA10V9I5STRZ20E&qualifier=1592489126&id=8562620905501404&widgetName=sp_atf,4.3 out of 5 stars,646,$23.99,Headphones
2,(2 Pack) Aux Headphones/Earbuds 3.5mm Wired Headphones Noise Isolating with Built-in Microphone & Volume Control Compatible with iPhone 6 SE 5S 4 iPod iPad Samsung/Android MP3,https://www.amazon.com/Headphones-Earbuds-Isolating-Microphone-Compatible/dp/B084MCQHWC/ref=sr_1_3?dchild=1&keywords=Headphones&qid=1592489127&sr=8-3,3.9 out of 5 stars,553,$11.99,Headphones
3,Sony MDRZX110/BLK  ZX Series Stereo Headphones (Black),https://www.amazon.com/Sony-MDRZX110-BLK-Stereo-Headphones/dp/B00NJ2M33I/ref=sr_1_4?dchild=1&keywords=Headphones&qid=1592489127&sr=8-4,4.3 out of 5 stars,"16,245",,Headphones
4,"PeohZarr On-Ear Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M Tangle Free Cord, Portable Wired Headphones for Smartphone Tablet Laptop Computer MP3/4",https://www.amazon.com/PeohZarr-Headphones-Microphone-Lightweight-Smartphone/dp/B07SHH37M6/ref=sr_1_5?dchild=1&keywords=Headphones&qid=1592489127&sr=8-5,4.7 out of 5 stars,"5,422",$13.99,Headphones
5,Apple EarPods with Lightning Connector - White,https://www.amazon.com/Apple-EarPods-Lightning-Connector-White/dp/B01M0GB8CC/ref=sr_1_6?dchild=1&keywords=Headphones&qid=1592489127&sr=8-6,4.4 out of 5 stars,"14,376",$19.16,Headphones
6,"Vogek On Ear Headphones with Mic, Lightweight Portable Fold-Flat Stereo Bass Headphones with 1.5M Tangle Free Cord and Microphone-Black",https://www.amazon.com/Headphones-Lightweight-Portable-Fold-Flat-Microphone-Black/dp/B07MCCJ6VY/ref=sr_1_7?dchild=1&keywords=Headphones&qid=1592489127&sr=8-7,4.5 out of 5 stars,"6,145",$16.99,Headphones
7,"Panasonic ErgoFit In-Ear Earbud Headphones RP-HJE120K Dynamic Crystal-Clear Sound, Ergonomic Comfort-Fit, 9mm, Black",https://www.amazon.com/Panasonic-Headphones-RP-HJE120-K-Ergonomic-Comfort-Fit/dp/B003EM8008/ref=sr_1_8?dchild=1&keywords=Headphones&qid=1592489127&sr=8-8,4.2 out of 5 stars,"73,502",$10.21,Headphones
8,"3 Packs Earbud Headphones with Remote & Microphone, SourceTon In Ear Earphone Stereo Sound Noise Isolating Tangle Free for iOS and Android Smartphones, Laptops, Gaming, Fits All 3.5mm Interface Device",https://www.amazon.com/Headphones-Microphone-SourceTon-Isolating-Smartphones/dp/B077ZYLMZV/ref=sr_1_9?dchild=1&keywords=Headphones&qid=1592489127&sr=8-9,4.1 out of 5 stars,"2,901",$9.99,Headphones
9,"Koss KPH7 Lightweight Portable Headphone, Black",https://www.amazon.com/Koss-KPH7-Lightweight-Portable-Headphone/dp/B006T9ZKAQ/ref=sr_1_10?dchild=1&keywords=Headphones&qid=1592489127&sr=8-10,3.9 out of 5 stars,"3,442",$6.19,Headphones
