,name,product_url,rating,review_count,price,product_type
0,AmazonBasics USB Wired Computer Keyboard and Wired Mouse Bundle Pack,https://www.amazon.com/AmazonBasics-Wired-Computer-Keyboard-Bundle/dp/B00B7GV802/ref=sr_1_1?crid=S4CZCD6PTNU6&dchild=1&keywords=keyboard&qid=1594377050&s=computers-intl-ship&sprefix=key%2Caps%2C252&sr=1-1,4.4 out of 5 stars,"4,656",$14.99,Keyboard
1,Dell Wired Keyboard - Black KB216 (580-ADMT),https://www.amazon.com/Dell-Wired-Keyboard-Black-580-ADMT/dp/B00ZYLMQH0/ref=sr_1_2?crid=S4CZCD6PTNU6&dchild=1&keywords=keyboard&qid=1594377050&s=computers-intl-ship&sprefix=key%2Caps%2C252&sr=1-2,4.5 out of 5 stars,"4,565",$18.60,Keyboard
2,Logitech K350 Wireless Wave Keyboard with Unifying Wireless Technology - Black,https://www.amazon.com/Logitech-K350-2-4Ghz-Wireless-Keyboard/dp/B002MMY4WY/ref=sr_1_3?crid=S4CZCD6PTNU6&dchild=1&keywords=keyboard&qid=1594377050&s=computers-intl-ship&sprefix=key%2Caps%2C252&sr=1-3,4.3 out of 5 stars,"3,598",,Keyboard
3,"Logitech MK270 Wireless Keyboard and Mouse Combo — Keyboard and Mouse Included, 2.4GHz Dropout-Free Connection, Long Battery Life, Mouse and Keyboard, Standard Packaging",https://www.amazon.com/Logitech-MK270-Wireless-Keyboard-Mouse/dp/B00BP5KOPA/ref=sr_1_4?crid=S4CZCD6PTNU6&dchild=1&keywords=keyboard&qid=1594377050&s=computers-intl-ship&sprefix=key%2Caps%2C252&sr=1-4,4.2 out of 5 stars,"22,364",,Keyboard
4,Corsair K95 RGB PLATINUM Mechanical Gaming Keyboard - 6x Programmable Macro Keys - USB Passthrough & Media Controls - Fastest Cherry MX Speed - RGB LED Backlit - Aluminum Finish,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers-intl-ship_sr_pg1_1?ie=UTF8&adId=A05106101VQ0H87Y3UT7N&url=%2FCORSAIR-PLATINUM-Mechanical-Gaming-Keyboard%2Fdp%2FB01MU3R9VM%2Fref%3Dsr_1_5_sspa%3Fcrid%3DS4CZCD6PTNU6%26dchild%3D1%26keywords%3Dkeyboard%26qid%3D1594377050%26s%3Dcomputers-intl-ship%26sprefix%3Dkey%252Caps%252C252%26sr%3D1-5-spons%26psc%3D1&qualifier=1594377397&id=5901296521481147&widgetName=sp_mtf,4.3 out of 5 stars,"2,354",$182.99,Keyboard
5,"NPET K10 Gaming Keyboard USB Wired Floating Keyboard, Quiet Ergonomic Water-Resistant Mechanical Feeling Keyboard, Ultra-Slim Rainbow LED Backlit Keyboard for Desktop, Computer, PC",https://www.amazon.com/NPET-Floating-Keyboard-Mechanical-Illuminated/dp/B01ALLT2W4/ref=sr_1_6?crid=S4CZCD6PTNU6&dchild=1&keywords=keyboard&qid=1594377050&s=computers-intl-ship&sprefix=key%2Caps%2C252&sr=1-6,4.3 out of 5 stars,"1,947",$21.99,Keyboard
6,Logitech K400 Plus Wireless Touch TV Keyboard with Easy Media Control and Built-In Touchpad,https://www.amazon.com/Logitech-Wireless-Keyboard-Control-Touchpad/dp/B014EUQOGK/ref=sr_1_7?crid=S4CZCD6PTNU6&dchild=1&keywords=keyboard&qid=1594377050&s=computers-intl-ship&sprefix=key%2Caps%2C252&sr=1-7,4.4 out of 5 stars,"10,615",,Keyboard
7,Razer Cynosa Chroma Gaming Keyboard: 168 Individually Backlit RGB Keys - Spill-Resistant Design - Programmable Macro Functionality - Quiet & Cushioned,https://www.amazon.com/Razer-Cynosa-Chroma-Gaming-Keyboard/dp/B075KMZ4MX/ref=sr_1_8?crid=S4CZCD6PTNU6&dchild=1&keywords=keyboard&qid=1594377050&s=computers-intl-ship&sprefix=key%2Caps%2C252&sr=1-8,4.5 out of 5 stars,"2,366",$50.99,Keyboard
8,HP Wired USB Keyboard K1500 (Black) (H3C52AA#ABA),https://www.amazon.com/HP-Wired-Keyboard-H3C52AA-ABA/dp/B00E4TOWR0/ref=sr_1_9?crid=S4CZCD6PTNU6&dchild=1&keywords=keyboard&qid=1594377050&s=computers-intl-ship&sprefix=key%2Caps%2C252&sr=1-9,4.4 out of 5 stars,"1,509",,Keyboard
9,Rii Wireless Office Keyboard and Mouse Combo RK102 Standard Wireless Keyboard and Wireless Optical Mice for Office on Windows/Android TV Box/Raspberry Pi/PC/Laptop/PS3/4/,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers-intl-ship_sr_pg1_1?ie=UTF8&adId=A0922351KG1C9Y5JZSAX&url=%2FRii-Wireless-Keyboard-Standard-Raspberry%2Fdp%2FB07WJYVCCN%2Fref%3Dsr_1_10_sspa%3Fcrid%3DS4CZCD6PTNU6%26dchild%3D1%26keywords%3Dkeyboard%26qid%3D1594377050%26s%3Dcomputers-intl-ship%26sprefix%3Dkey%252Caps%252C252%26sr%3D1-10-spons%26psc%3D1&qualifier=1594377397&id=5901296521481147&widgetName=sp_mtf,4.1 out of 5 stars,155,$19.99,Keyboard
10,Microsoft Wired Keyboard 600 (Black),https://www.amazon.com/Microsoft-Wired-Keyboard-600-Black/dp/B001OAR26K/ref=sr_1_11?crid=S4CZCD6PTNU6&dchild=1&keywords=keyboard&qid=1594377050&s=computers-intl-ship&sprefix=key%2Caps%2C252&sr=1-11,4.4 out of 5 stars,865,,Keyboard
11,HP USB Slim Business Keyboard,https://www.amazon.com/HP-USB-Slim-Business-Keyboard/dp/B01BQ8S45M/ref=sr_1_12?crid=S4CZCD6PTNU6&dchild=1&keywords=keyboard&qid=1594377050&s=computers-intl-ship&sprefix=key%2Caps%2C252&sr=1-12,4.4 out of 5 stars,458,$19.90,Keyboard
12,"Logitech K800 Wireless Illuminated Keyboard — Backlit Keyboard, Fast-Charging, Dropout-Free 2.4GHz Connection",https://www.amazon.com/Logitech-K800-Wireless-Illuminated-Keyboard/dp/B003VAGXWK/ref=sr_1_13?crid=S4CZCD6PTNU6&dchild=1&keywords=keyboard&qid=1594377050&s=computers-intl-ship&sprefix=key%2Caps%2C252&sr=1-13,4.1 out of 5 stars,"6,345",,Keyboard
13,"Gaming Keyboard, WisFox Colorful Rainbow LED Backlit Wired Computer Gaming Keyboard with 104 Keys, USB Wired Keyboard and Spill-Resistant for Windows PC Gamers Desktop PS4",https://www.amazon.com/Keyboard-WisFox-Colorful-Computer-Spill-Resistant/dp/B07X83L36F/ref=sr_1_14?crid=S4CZCD6PTNU6&dchild=1&keywords=keyboard&qid=1594377050&s=computers-intl-ship&sprefix=key%2Caps%2C252&sr=1-14,4.7 out of 5 stars,389,$21.99,Keyboard
14,Macally Full Size USB Wired Keyboard (MKEYE) for Mac and PC (White) w/ Shortcut Hot Keys,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers-intl-ship_sr_pg1_1?ie=UTF8&adId=A03322391PKYEQCRJVJ1Y&url=%2FMacally-Wired-Keyboard-MKEYE-Shortcut%2Fdp%2FB00A7Z0WQ0%2Fref%3Dsr_1_15_sspa%3Fcrid%3DS4CZCD6PTNU6%26dchild%3D1%26keywords%3Dkeyboard%26qid%3D1594377050%26s%3Dcomputers-intl-ship%26sprefix%3Dkey%252Caps%252C252%26sr%3D1-15-spons%26psc%3D1&qualifier=1594377397&id=5901296521481147&widgetName=sp_mtf,3.7 out of 5 stars,"1,555",$19.99,Keyboard
15,Razer Ornata Chroma Gaming Keyboard: Hybrid Mechanical Key Switches - Customizable Chroma RGB Lighting - Individually Backlit Keys - Detachable Plush Wrist Rest - Programmable Macro Functionality,https://www.amazon.com/Razer-Ornata-Chroma-Mecha-Membrane-Individually/dp/B01LVTI3TO/ref=sr_1_16?crid=S4CZCD6PTNU6&dchild=1&keywords=keyboard&qid=1594377050&s=computers-intl-ship&sprefix=key%2Caps%2C252&sr=1-16,4.6 out of 5 stars,"2,519",$80.81,Keyboard
16,Razer Huntsman Gaming Keyboard: Fastest Keyboard Switches Ever - Clicky Optical Switches - Customizable Chroma RGB Lighting - Programmable Macro Functionality - Classic Black,https://www.amazon.com/Razer-Huntsman-Opto-Mechanical-Board-Durability/dp/B07DHNZ676/ref=sr_1_17?crid=S4CZCD6PTNU6&dchild=1&keywords=keyboard&qid=1594377050&s=computers-intl-ship&sprefix=key%2Caps%2C252&sr=1-17,4.6 out of 5 stars,"1,861",$89.99,Keyboard
17,"Wireless Keyboard and Mouse, Jelly Comb 2.4GHz Ultra Thin Full Size Wireless Keyboard Mouse Combo Set with Number Pad for Computer, Laptop, PC, Desktop, Notebook, Windows 7, 8, 10-(Black)",https://www.amazon.com/Wireless-Keyboard-Jelly-Comb-Computer/dp/B07NNWRX76/ref=sr_1_18?crid=S4CZCD6PTNU6&dchild=1&keywords=keyboard&qid=1594377050&s=computers-intl-ship&sprefix=key%2Caps%2C252&sr=1-18,4.4 out of 5 stars,781,$32.99,Keyboard
18,"Havit Keyboard Rainbow Backlit Wired Gaming Keyboard Mouse Combo, LED 104 Keys USB Ergonomic Wrist Rest Keyboard, 3200 Dots Per Inch 6 Button Mouse for Windows Gamer Desktop, Computer (Black)",https://www.amazon.com/HAVIT-Rainbow-Backlit-Gaming-Keyboard/dp/B016Y2BVKA/ref=sr_1_19?crid=S4CZCD6PTNU6&dchild=1&keywords=keyboard&qid=1594377050&s=computers-intl-ship&sprefix=key%2Caps%2C252&sr=1-19,4.3 out of 5 stars,"5,220",$34.99,Keyboard
19,"Corsair K95 RGB Platinum XT Mechanical Gaming Keyboard, Backlit RGB LED, Cherry MX RGB Blue, Black",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_computers-intl-ship_sr_pg1_1?ie=UTF8&adId=A05107101UZPVP95XXEUO&url=%2FCorsair-Platinum-Mechanical-Keyboard-Backlit%2Fdp%2FB082GRQ8XM%2Fref%3Dsr_1_20_sspa%3Fcrid%3DS4CZCD6PTNU6%26dchild%3D1%26keywords%3Dkeyboard%26qid%3D1594377050%26s%3Dcomputers-intl-ship%26sprefix%3Dkey%252Caps%252C252%26sr%3D1-20-spons%26psc%3D1&qualifier=1594377397&id=5901296521481147&widgetName=sp_btf,4.1 out of 5 stars,120,$199.99,Keyboard
