,name,product_url,rating,review_count,price,product_type
0,"Portable Monitor - 15.6-Inch USB-C Portable Display, 1080P Full HD IPS Panel & Type-C HDMI, Eye Care & Stereo Speakers for Laptop Phone PS4 Xbox, Ultra Slim & Light, Case & Screen Protector Included",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_electronics-intl-ship_sr_pg2_1?ie=UTF8&adId=A02793853EPYYDXO0AE0Y&url=%2FME16Z01%2Fdp%2FB07YTNYT11%2Fref%3Dsr_1_13_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1594132600%26s%3Delectronics%26sr%3D1-13-spons%26psc%3D1&qualifier=1594160447&id=5044327809606559&widgetName=sp_atf_next,4.7 out of 5 stars,231,$185.99,Monitor
1,BenQ IPS Entertainment Monitor with HDMI connectivity HDR Eye-Care Integrated Speakers and Custom Audio Modes,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_electronics-intl-ship_sr_pg2_1?ie=UTF8&adId=A079381722GETCH590BOE&url=%2FBenQ-EW2780U-27-Inch-Monitor-connectivity%2Fdp%2FB081V1KPSD%2Fref%3Dsr_1_14_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1594132600%26s%3Delectronics%26sr%3D1-14-spons%26psc%3D1&qualifier=1594160447&id=5044327809606559&widgetName=sp_atf_next,2.5 out of 5 stars,5,$549.99,Monitor
2,Samsung LC27F398FWNXZA Samsung C27F398 27 Inch Curved LED Monitor,https://www.amazon.com/Monitor-curvado-Samsung-serie-pulgadas/dp/B01CX26WIG/ref=sr_1_15?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-15,4.5 out of 5 stars,"1,622",$179.99,Monitor
3,"Samsung 23.5"" FHD Curved LED-Lit FreeSync Monitor(LC24F396FHNXZA)",https://www.amazon.com/Samsung-23-5-Inch-LED-Lit-Monitor-LC24F396FHNXZA/dp/B079K3MXWF/ref=sr_1_16?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-16,4.5 out of 5 stars,675,$149.99,Monitor
4,"Dell SE2419Hx 23.8"" IPS Full HD (1920x1080) Monitor, Black",https://www.amazon.com/Dell-SE2419Hx-23-8-1920x1080-Monitor/dp/B07HKV5RLG/ref=sr_1_17?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-17,4.6 out of 5 stars,383,,Monitor
5,ViewSonic VX3276-MHD 32 Inch 1080p Frameless Widescreen IPS Monitor with Screen Split Capability HDMI and DisplayPort,https://www.amazon.com/ViewSonic-VX3276-MHD-Frameless-Widescreen-DisplayPort/dp/B0787WGCXT/ref=sr_1_18?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-18,4.5 out of 5 stars,"1,184",$199.99,Monitor
6,HP 27er 27-Inch Full HD 1080p IPS LED Monitor with Frameless Bezel and VGA & HDMI (T3M88AA),https://www.amazon.com/HP-Monitor-audio-integrado-pulgadas/dp/B01F6V704G/ref=sr_1_19?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-19,4.5 out of 5 stars,"2,796",$216.00,Monitor
7,"ViewSonic VA2246MH-LED 22 Inch Full HD 1080p LED Monitor with HDMI and VGA Inputs for Home and Office,Black",https://www.amazon.com/ViewSonic-VA2246MH-LED-Monitor-Inputs-Office/dp/B072F3DL6P/ref=sr_1_20?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-20,4.4 out of 5 stars,993,$89.99,Monitor
8,"TechOrbits Three Monitor Stand Mount - Triple Computer Screen Desk Mount Arms - Full Motion Swivel Articulating Mechanical Arms with Two USB Ports- Universal Fit for 17"" - 27"" Screens Vesa",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics-intl-ship_sr_pg2_1?ie=UTF8&adId=A0669127YCIR4AOXWAE7&url=%2FTechOrbits-Soporte-individual-pantalla-ordenador%2Fdp%2FB07JM6DLW4%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1594132600%26s%3Delectronics%26sr%3D1-21-spons%26psc%3D1&qualifier=1594160447&id=5044327809606559&widgetName=sp_mtf,3.8 out of 5 stars,6,$139.95,Monitor
9,"Portable Monitor - Upgraded 17.3 Inch 1080P FHD IPS HDR 100% sRGB FreeSync USB-C Gaming Monitor with Type-C Mini HDMI for Xbox PS4 Nintendo Switch Laptop PC Phone Mac Surface, with case VESA Mount",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics-intl-ship_sr_pg2_1?ie=UTF8&adId=A0138446255TOOTHMOO3J&url=%2FPortable-Monitor-Upgraded-FreeSync-Nintendo%2Fdp%2FB083XKS6NB%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1594132600%26s%3Delectronics%26smid%3DA17ZA0T0Q8GQUW%26sr%3D1-22-spons%26psc%3D1&qualifier=1594160447&id=5044327809606559&widgetName=sp_mtf,4.9 out of 5 stars,48,$271.99,Monitor
10,"AOC C32G1 32"" Curved Frameless Gaming Monitor, FHD 1920x1080, VA panel, 1ms MPRT, 144Hz, FreeSync, DisplayPort/HDMI/VGA, VESA, black",https://www.amazon.com/AOC-C32G1-Frameless-1920x1080-DisplayPort/dp/B07HKGFB27/ref=sr_1_23?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-23,4.5 out of 5 stars,"3,792",,Monitor
11,"Sceptre 30-inch Curved Gaming Monitor 21:9 2560x1080 Ultra Wide Ultra Slim HDMI DisplayPort up to 200Hz Build-in Speakers, Metal Black (C305B-200UN)",https://www.amazon.com/Sceptre-30-inch-Curved-Gaming-Monitor/dp/B07TXM7K4T/ref=sr_1_24?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-24,4.4 out of 5 stars,"1,026",$278.99,Monitor
12,"Sceptre E255B-1658A 24.5"" 165Hz 144Hz 1ms AMD FreeSync Gaming LED Monitor 2X HDMI 2.0 1x DisplayPort RTS FPS Build-in Speakers, Machine Black",https://www.amazon.com/Sceptre-E255B-1658A-Gaming-Monitor-DisplayPort/dp/B07KGMQGDT/ref=sr_1_25?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-25,4.4 out of 5 stars,"1,805",$179.99,Monitor
13,"Samsung 24"" FHD Monitor with Bezel-LESS Design - LS24R350FHNXZA, Dark Blue Gray",https://www.amazon.com/Samsung-Monitor-Bezel-LESS-Design-LS24R350FHNXZA/dp/B07Y2QPG3B/ref=sr_1_26?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-26,4.5 out of 5 stars,52,$129.99,Monitor
14,"Sceptre 24-Inch Curved 144Hz Gaming LED Monitor Edge-Less AMD FreeSync DisplayPort HDMI, Machine Black (C248B-144RN)",https://www.amazon.com/Sceptre-Edge-Less-FreeSync-DisplayPort-C248B-144RN/dp/B07MTMCNLX/ref=sr_1_27?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-27,4.5 out of 5 stars,"1,604",,Monitor
15,"Philips 246E9QDSB 24"" Frameless Monitor, Full HD IPS, 129% sRGB, 75Hz, FreeSync, VESA, 4Yr Advance Replacement Warranty",https://www.amazon.com/Philips-246E9QDSB-Frameless-1920x1080-FreeSync/dp/B07CK4W58Y/ref=sr_1_28?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-28,4.4 out of 5 stars,"2,979",$104.99,Monitor
16,"TechOrbits Dual Monitor Mount Stand - SmartSWIVEL - Dual Computer Screen Desk Mount Arms - Full Motion Swivel Articulating Gas Springs - Universal Fit for 13"" - 30"" Screens Vesa Mount",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics-intl-ship_sr_pg2_1?ie=UTF8&adId=A0669371D079N7KHSHIM&url=%2FTechOrbits-Dual-Monitor-Mount-Stand%2Fdp%2FB06XWCZF4P%2Fref%3Dsr_1_29_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1594132600%26s%3Delectronics%26sr%3D1-29-spons%26psc%3D1&qualifier=1594160447&id=5044327809606559&widgetName=sp_btf,4.5 out of 5 stars,281,$99.95,Monitor
17,Eyoyo 8 Inch HDMI Monitor 1024x768 Resolution Display Portable 4:3 TFT LCD Mini HD Color Video Screen Support HDMI VGA BNC AV Ypbpr Input for PC CCTV Home Security with Mount,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics-intl-ship_sr_pg2_1?ie=UTF8&adId=A102457830TNH86J6VDXV&url=%2FEyoyo-Monitor-1024x768-Resolution-Portable%2Fdp%2FB01FHDL1DE%2Fref%3Dsr_1_30_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1594132600%26s%3Delectronics%26sr%3D1-30-spons%26psc%3D1&qualifier=1594160447&id=5044327809606559&widgetName=sp_btf,4.1 out of 5 stars,215,$62.99,Monitor
18,"2020 Newest HP 23.8"" Full HD (1920x1080) IPS LED Monitor for Business and Student, Build in Speaker, VESA Mounting, Tilt, HDMI, VGA, 5ms, 16:9 Aspect Ratio, w/Ghost Manta Accessories",https://www.amazon.com/HP-1920x1080-Business-Speaker-Mounting/dp/B087ZX8JBC/ref=sr_1_27?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-27,4.7 out of 5 stars,8,$199.99,Monitor
19,"Sceptre IPS 24-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, E248W-FPT, Machine Black",https://www.amazon.com/Sceptre-Business-Computer-Speakers-E248W-FPT/dp/B087QRW81Z/ref=sr_1_28?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-28,4.4 out of 5 stars,84,$119.97,Monitor
20,"Sceptre Curved 27"" 75Hz LED Monitor HDMI VGA Build-in Speakers, Edge-Less Metal Black 2019 (C275W-1920RN)",https://www.amazon.com/Sceptre-Monitor-Speakers-Edge-Less-C275W-1920RN/dp/B07MTRQ6B3/ref=sr_1_29?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-29,4.6 out of 5 stars,"1,595",$217.58,Monitor
21,"ASUS VE248H 24"" Full HD 1920x1080 2Ms HDMI DVI VGA Back-Lit LED Monitor,Black",https://www.amazon.com/ASUS-VE248H-1920x1080-Back-lit-Monitor/dp/B0043T7FHK/ref=sr_1_30?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-30,4.3 out of 5 stars,"2,056",$114.99,Monitor
22,LG 32ML600M-B 32” Inch Full HD IPS LED Monitor with HDR 10 - Black,https://www.amazon.com/LG-32ML600M-B-Inch-Full-Monitor/dp/B07PDHSVSW/ref=sr_1_31?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-31,4.2 out of 5 stars,854,$199.99,Monitor
23,"Samsung Business 22"" S22R350FHN 1920x1080, IPS Panel, Thin bezels, VGA/HDMI, Monitor, Black",https://www.amazon.com/Samsung-Business-S22R350FHN-1920x1080-Monitor/dp/B083W8PJPB/ref=sr_1_32?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-32,4.3 out of 5 stars,13,$109.99,Monitor
24,"Acer EZ321Q wi 31.5"" Full HD (1920 x 1080) IPS Monitor (HDMI & VGA Port), White",https://www.amazon.com/Acer-EZ321Q-31-5-Monitor-White/dp/B07YGY3RLN/ref=sr_1_35?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-35,4.3 out of 5 stars,91,$169.99,Monitor
25,"Asus VP249QGR 23.8” Gaming Monitor 144Hz Full HD (1920 x 1080) IPS 1ms FreeSync Extreme Low Motion Blur Eye Care DisplayPort HDMI VGA,BLACK",https://www.amazon.com/VP249QGR-Monitor-FreeSync-Extreme-DisplayPort/dp/B083FMP35T/ref=sr_1_36?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-36,4.4 out of 5 stars,197,,Monitor
26,"LG 24M47VQ 24-Inch LED-lit Monitor, Black",https://www.amazon.com/LG-24M47VQ-24-Inch-LED-lit-Monitor/dp/B00W95RR32/ref=sr_1_37?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-37,4.4 out of 5 stars,362,$99.99,Monitor
27,"Dell P Series 27-Inch Screen Led-Lit Monitor (P2719H), Black",https://www.amazon.com/Dell-27-Inch-LED-lit-Monitor-P2719H/dp/B07FKH79XM/ref=sr_1_38?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-38,4.7 out of 5 stars,343,,Monitor
28,"Sceptre IPS 27-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, Machine Black 2020 (e275W-FPT)",https://www.amazon.com/Sceptre-Business-Computer-Speakers-e275W-FPT/dp/B089BTLL9K/ref=sr_1_39?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-39,4.8 out of 5 stars,6,$139.97,Monitor
29,ViewSonic VX2452MH 24 Inch 2ms 60Hz 1080p Gaming Monitor with HDMI DVI and VGA inputs,https://www.amazon.com/ViewSonic-VX2452MH-Gaming-Monitor-inputs/dp/B00EZSUVHK/ref=sr_1_40?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-40,4.5 out of 5 stars,"2,227",$129.00,Monitor
30,"MOUNTUP Dual Monitor Stand - Adjustable Gas Spring Dual Monitor Mount, Monitor Desk Mount with C Clamp, Grommet Mounting Base, Monitor Arm for Computer Screen up to 27 Inch, MU0005",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics-intl-ship_sr_pg3_1?ie=UTF8&adId=A0194107Q3TFGW1OJPF6&url=%2FMOUNTUP-Dual-Monitor-Stand-Adjustable%2Fdp%2FB07Z7ZM8CJ%2Fref%3Dsr_1_42_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1594132600%26s%3Delectronics%26sr%3D1-42-spons%26psc%3D1&qualifier=1594160450&id=2600300680546007&widgetName=sp_btf,4.3 out of 5 stars,290,$59.99,Monitor
31,"Dell S-Series 27-Inch Screen LED-Lit Gaming Monitor (S2719DGF); QHD (2560 x 1440) up to 155 Hz; 16:9; 1ms Response time; HDMI 2.0; DP 1.2; USB; FreeSync; LED; Height Adjust, Tilt, Swivel & Pivot",https://www.amazon.com/Dell-27-Inch-LED-Lit-Monitor-S2719DGF/dp/B00N2L5CXO/ref=sr_1_41?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-41,4.5 out of 5 stars,"1,011",,Monitor
32,"Acer KG241Q Pbiip 23.6"" Full HD (1920 x 1080) TN 144Hz 1ms Monitor with AMD FREESYNC Technology (Display Port & 2 x HDMI)",https://www.amazon.com/Acer-KG241Q-Pbiip-FREESYNC-Technology/dp/B07MG85X1M/ref=sr_1_42?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-42,4.3 out of 5 stars,"1,324",$144.99,Monitor
33,"Acer XFA240 bmjdpr 24"" Gaming G-SYNC Compatible Monitor 1920 x 1080, 144hz Refresh Rate, 1ms Response Time with Height, Pivot, Swivel & Tilt, Black",https://www.amazon.com/Acer-XFA240-bmjdpr-Response-Technology/dp/B06ZYHZ6R6/ref=sr_1_43?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-43,4.2 out of 5 stars,"1,426",$174.99,Monitor
34,"Portable Monitor - Lepow 15.6 Inch Computer Display 1920×1080 Full HD IPS Screen USB C Gaming Monitor with Type-C Mini HDMI for Laptop PC MAC Phone Xbox PS4, Include Smart Cover & Screen Protector",https://www.amazon.com/Portable-Monitor-Computer-1920%C3%971080-Protector/dp/B07RGPCQG1/ref=sr_1_44?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-44,4.5 out of 5 stars,"2,221",$188.98,Monitor
35,"LG 27UL500-W 27-Inch UHD (3840 x 2160) IPS Monitor with Radeon Freesync Technology and HDR10, White",https://www.amazon.com/LG-27UL500-W-27-Inch-Freesync-Technology/dp/B07PGL2WVS/ref=sr_1_47?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-47,4.4 out of 5 stars,"1,194",$349.99,Monitor
36,"Dell P Series 21.5"" Screen LED-Lit Monitor Black (P2219H)",https://www.amazon.com/Dell-Screen-LED-Lit-Monitor-P2219H/dp/B07F8Z2WFL/ref=sr_1_48?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-48,4.6 out of 5 stars,148,,Monitor
37,"Acer KB272HL bix 27"" Full HD (1920 x 1080) Acer VisionCare VA Monitor with Flicker-less, BlueLight Filter and AMD FREESYNC Technology (HDMI & VGA Port),Black",https://www.amazon.com/Acer-KB272HL-bix-VisionCare-Flicker-Less/dp/B07QPBXVBQ/ref=sr_1_49?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-49,4.5 out of 5 stars,316,,Monitor
38,"ASUS VS207T-P 19.5"" HD+ 1600x900 DVI VGA Back-lit LED Monitor,Black",https://www.amazon.com/ASUS-VS207T-P-1600x900-Back-lit-Monitor/dp/B00B5Q6Y7G/ref=sr_1_50?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-50,4.4 out of 5 stars,"5,518",$84.19,Monitor
39,"LG 27UK850-W 27"" 4K UHD IPS Monitor with HDR10 with USB Type-C Connectivity and FreeSync, White",https://www.amazon.com/LG-27UK850-W-Monitor-Connectivity-FreeSync/dp/B078GVTD9N/ref=sr_1_51?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-51,4.3 out of 5 stars,668,$449.99,Monitor
40,"Samsung Business SR650 Series 24 inch IPS 1080p 75Hz Computer Monitor for Business with VGA, HDMI, DisplayPort, and USB Hub, 3-Year Warranty (S24R650FDN), Black",https://www.amazon.com/Samsung-Business-Computer-DisplayPort-S24R650FDN/dp/B082X46ZGD/ref=sr_1_52?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-52,4.3 out of 5 stars,30,$169.99,Monitor
