product_type,rating,brands
Dslr,4.5,Sokani
Dslr,4.2,Hukado
Dslr,4.5,Pawia
Dslr,4.7,NICEYRIG
Dslr,4.6,Meiso
Dslr,4.5,ESDDI
Dslr,3.9,CADeN Official Store
Dslr,4.0,SHEYOU
Dslr,4.8,AlyKets
Dslr,4.3,Amazon Basics
Dslr,4.2,Poyinco
Dslr,5.0,Gudsen
Dslr,5.0,Pinestone
Dslr,4.5,Palotix
Dslr,4.5,YESSBON
Dslr,4.5,Pickle Power
Dslr,4.5,LeHang Electronics
Dslr,4.4,SmoofflyLycra
Dslr,4.7,Asus
Dslr,4.4,Apple
Dslr,4.0,Cannon
Dslr,4.7,Nikon
Dslr,4.7,Sokani
Dslr,4.5,Hukado
Dslr,4.6,Pawia
Dslr,4.2,NICEYRIG
Dslr,4.4,Meiso
Dslr,4.6,ESDDI
Dslr,4.5,CADeN Official Store
Dslr,4.3,SHEYOU
Dslr,4.4,AlyKets
Dslr,4.3,Amazon Basics
Dslr,4.2,Poyinco
Dslr,4.5,Gudsen
Dslr,4.3,Pinestone
Dslr,4.5,Palotix
Dslr,4.5,YESSBON
Dslr,4.5,Pickle Power
Dslr,4.7,LeHang Electronics
Dslr,4.1,SmoofflyLycra
Dslr,4.4,Asus
Dslr,4.7,Apple
Dslr,4.4,Cannon
Dslr,4.8,Nikon
Dslr,4.8,Sokani
Dslr,4.5,Hukado
Dslr,5.0,Pawia
Dslr,4.6,NICEYRIG
Dslr,4.5,Meiso
Dslr,4.7,ESDDI
Dslr,4.1,CADeN Official Store
Dslr,4.8,SHEYOU
Dslr,4.5,AlyKets
Dslr,4.8,Amazon Basics
Dslr,4.4,Poyinco
Dslr,4.6,Gudsen
Dslr,4.2,Pinestone
Dslr,4.4,Palotix
Dslr,4.6,YESSBON
Dslr,4.4,Pickle Power
Dslr,4.0,LeHang Electronics
Dslr,4.4,SmoofflyLycra
Dslr,4.3,Asus
Dslr,4.6,Apple
Dslr,4.2,Cannon
Dslr,4.5,Nikon
Dslr,4.2,Sokani
Dslr,4.3,Hukado
Dslr,4.6,Pawia
Dslr,4.8,NICEYRIG
Dslr,4.7,Meiso
Dslr,4.2,ESDDI
Dslr,4.4,CADeN Official Store
Dslr,4.2,SHEYOU
Dslr,4.7,AlyKets
Dslr,4.5,Amazon Basics
Dslr,4.5,Poyinco
