,name,product_url,rating,review_count,price,product_type
0,AmazonBasics 60-Inch Lightweight Tripod with Bag,https://www.amazon.com/AmazonBasics-60-Inch-Lightweight-Tripod-Bag/dp/B005KP473Q/ref=sr_1_17?crid=S9NG40B69HIE&dchild=1&keywords=dslr+camera&qid=1594465841&s=electronics&sprefix=DSL%2Celectronics-intl-ship%2C244&sr=1-17,4.5 out of 5 stars,"27,293",$25.99,Dslr
1,"Canon PowerShot ELPH 180 Digital Camera w/ Image Stabilization and Smart AUTO Mode (Silver), 0.90in. x 3.70in. x 2.10in. - 1093C001",https://www.amazon.com/Canon-PowerShot-Digital-Camera-Stabilization/dp/B019UDHOMO/ref=sr_1_18?crid=S9NG40B69HIE&dchild=1&keywords=dslr+camera&qid=1594465841&s=electronics&sprefix=DSL%2Celectronics-intl-ship%2C244&sr=1-18,4.2 out of 5 stars,"1,275",,Dslr
2,Canon EOS Rebel T7 DSLR Camera Bundle with Canon 18-55mm Lens + 2pc SanDisk 32GB Memory Cards + Accessory Kit,https://www.amazon.com/Canon-EOS-Rebel-0-709-2-165-accesorios/dp/B084GFBMHV/ref=sr_1_19?crid=S9NG40B69HIE&dchild=1&keywords=dslr+camera&qid=1594465841&s=electronics&sprefix=DSL%2Celectronics-intl-ship%2C244&sr=1-19,4.5 out of 5 stars,28,$454.99,Dslr
3,Nikon D5600 DSLR with 18-55mm f/3.5-5.6G VR and 70-300mm f/4.5-6.3G ED,https://www.amazon.com/C%C3%A1mara-D5600-formato-digital-SLR/dp/B01MR2D0OG/ref=sr_1_20?crid=S9NG40B69HIE&dchild=1&keywords=dslr+camera&qid=1594465841&s=electronics&sprefix=DSL%2Celectronics-intl-ship%2C244&sr=1-20,4.7 out of 5 stars,629,$796.95,Dslr
4,Nikon D3500 W/ AF-P DX NIKKOR 18-55mm f/3.5-5.6G VR Black,https://www.amazon.com/Nikon-D3500-NIKKOR-18-55mm-3-5-5-6G/dp/B07GWKDLGT/ref=sr_1_21?crid=S9NG40B69HIE&dchild=1&keywords=dslr+camera&qid=1594465841&s=electronics&sprefix=DSL%2Celectronics-intl-ship%2C244&sr=1-21,4.6 out of 5 stars,"1,399",$496.95,Dslr
5,"Nikon D3500 DSLR Camera with 18-55mm VR and 70-300mm Lenses + 128GB Card, Tripod, Flash, and More (20pc Bundle)",https://www.amazon.com/Nikon-D3500-Camera-18-55mm-70-300mm/dp/B07VNNYR4F/ref=sr_1_22?crid=S9NG40B69HIE&dchild=1&keywords=dslr+camera&qid=1594465841&s=electronics&sprefix=DSL%2Celectronics-intl-ship%2C244&sr=1-22,4.5 out of 5 stars,88,$649.00,Dslr
6,FEELWORLD FW568 5.5 inch DSLR Camera Field Monitor Video Peaking Focus Assist Small Full HD 1920x1080 IPS with 4K HDMI 8.4V DC Input Output Include Tilt Arm,https://www.amazon.com/FEELWORLD-Monitor-Peaking-1920x1080-Include/dp/B07J5C98NW/ref=sr_1_23?crid=S9NG40B69HIE&dchild=1&keywords=dslr+camera&qid=1594465841&s=electronics&sprefix=DSL%2Celectronics-intl-ship%2C244&sr=1-23,3.9 out of 5 stars,90,$138.99,Dslr
7,FeiyuTech AK2000s Gimbal Camera Handheld Stabilizer with Versatile Handle LCD Screen for DSLR Camera Sony a6300 a6400 a6500 Canon M50 EOS R Panasonic Nikon Fujifilm(Advanced Version),https://www.amazon.com/FeiyuTech-Handheld-Stabilizer-Versatile-Panasonic/dp/B0863T8PDW/ref=sr_1_24?crid=S9NG40B69HIE&dchild=1&keywords=dslr+camera&qid=1594465841&s=electronics&sprefix=DSL%2Celectronics-intl-ship%2C244&sr=1-24,4.0 out of 5 stars,5,$399.00,Dslr
8,"Canon EOS REBEL SL3 Digital SLR Camera with EF-S 18-55mm lens kit, Built-in Wi-Fi, Dual Pixel CMOS AF and 3.0 inch Vari-angle Touch Screen, Black",https://www.amazon.com/Canon-Rebel-18-55mm-Lens-Black/dp/B07QBD256Y/ref=sr_1_25?crid=S9NG40B69HIE&dchild=1&keywords=dslr+camera&qid=1594465841&s=electronics&sprefix=DSL%2Celectronics-intl-ship%2C244&sr=1-25,4.8 out of 5 stars,114,$649.00,Dslr
9,"Nikon D5600 DSLR Camera with 18-55mm VR and 70-300mm Lenses + 128GB Card, Tripod, Flash, and More (20pc Bundle)",https://www.amazon.com/Nikon-D5600-Camera-18-55mm-70-300mm/dp/B07VW3KC9X/ref=sr_1_26?crid=S9NG40B69HIE&dchild=1&keywords=dslr+camera&qid=1594465841&s=electronics&sprefix=DSL%2Celectronics-intl-ship%2C244&sr=1-26,4.3 out of 5 stars,96,$809.00,Dslr
