,name,product_url,rating,review_count,price,product_type
0,"Computer Wireless Mouse, WISFOX Wireless Ergonomic Mouse 2.4G Portable Mobile Mouse Optical Mice with Nano Receiver, 3 Adjustable DPI Levels, 6 Buttons for Laptop, Notebook, PC (Grey)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers-intl-ship_sr_pg1_1?ie=UTF8&adId=A03739161QOCPU0RHUN8J&url=%2Final%25C3%25A1mbrico-ordenador-ergon%25C3%25B3mico-port%25C3%25A1til-ajustables%2Fdp%2FB07Y1KKFBH%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dmouse%26qid%3D1594461956%26s%3Dcomputers-intl-ship%26sr%3D1-1-spons%26psc%3D1&qualifier=1594461955&id=5941672971974881&widgetName=sp_atf,4.6 out of 5 stars,614,$12.99,Mouse
1,Wireless Mouse 2.4G Jelly Comb Computer Mouse for Laptop with Adjustable DPI 1000/1600/2400 Level Mouse Wireless with PC/Desktop/Windows/MAC OS of Mac Mouse-Black and Sliver,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers-intl-ship_sr_pg1_1?ie=UTF8&adId=A0151637YF1VARPQEC9H&url=%2FWireless-Jelly-Comb-Adjustable-Receiver%2Fdp%2FB07Y65DF83%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dmouse%26qid%3D1594461956%26s%3Dcomputers-intl-ship%26sr%3D1-2-spons%26psc%3D1&qualifier=1594461955&id=5941672971974881&widgetName=sp_atf,4.4 out of 5 stars,482,$9.99,Mouse
2,"Logitech M510 Wireless Computer Mouse – Comfortable Shape with USB Unifying Receiver, with Back/Forward Buttons and Side-to-Side Scrolling, Dark Gray",https://www.amazon.com/Logitech-Wireless-Computer-Mouse-Side/dp/B003NR57BY/ref=sr_1_3?dchild=1&keywords=mouse&qid=1594461956&s=computers-intl-ship&sr=1-3,4.5 out of 5 stars,"20,831",,Mouse
3,"Logitech B100 Corded Mouse – Wired USB Mouse for Computers and laptops, for Right or Left Hand Use, Black",https://www.amazon.com/Logitech-800dpi-Optical-3-button-Ambidextrous/dp/B003L62T7W/ref=sr_1_4?dchild=1&keywords=mouse&qid=1594461956&s=computers-intl-ship&sr=1-4,4.5 out of 5 stars,"6,506",,Mouse
4,"Logitech M525 Wireless Mouse – Long 3 Year Battery Life, Ergonomic Shape for Right or Left Hand Use, Micro-Precision Scroll Wheel, and USB Unifying Receiver for Computers and Laptops, Black/Gray",https://www.amazon.com/Logitech-M525-Wireless-Mouse-Micro-Precision/dp/B005KSAHZU/ref=sr_1_5?dchild=1&keywords=mouse&qid=1594461956&s=computers-intl-ship&sr=1-5,4.6 out of 5 stars,"4,677",,Mouse
5,Verbatim Optical Mouse - Wired with USB Accessibility - Mac & PC Compatible - Black,https://www.amazon.com/Verbatim-Optical-Mouse-Accessibility-Compatible/dp/B00LPC3O3M/ref=sr_1_6?dchild=1&keywords=mouse&qid=1594461956&s=computers-intl-ship&sr=1-6,4.3 out of 5 stars,846,$4.99,Mouse
6,"Wireless Mouse, RATEL 2.4G Wireless Ergonomic Mouse Computer Mouse Laptop Mouse USB Mouse 6 Buttons with Nano Receiver 3 Adjustable DPI Levels Cordless Wireless Mice for Windows, Mac (Black+Grey)",https://www.amazon.com/Wireless-RATEL-Ergonomic-Computer-Adjustable/dp/B07SCY7H3W/ref=sr_1_7?dchild=1&keywords=mouse&qid=1594461956&s=computers-intl-ship&sr=1-7,4.5 out of 5 stars,960,$18.99,Mouse
7,AmazonBasics Wireless Computer Mouse with USB Nano Receiver - Black,https://www.amazon.com/AmazonBasics-Wireless-Computer-Mouse-Receiver/dp/B005EJH6Z4/ref=sr_1_9?dchild=1&keywords=mouse&qid=1594461956&s=computers-intl-ship&sr=1-9,4.3 out of 5 stars,"20,286",$12.99,Mouse
8,"AmazonBasics 3-Button USB Wired Computer Mouse (Black), 1-Pack",https://www.amazon.com/AmazonBasics-3-Button-Wired-Computer-1-Pack/dp/B005EJH6RW/ref=sr_1_10?dchild=1&keywords=mouse&qid=1594461956&s=computers-intl-ship&sr=1-10,4.5 out of 5 stars,"20,843",$7.65,Mouse
9,"Multifunctional Wireless Mouse, Cimetech 2.4G Cordless Mouse for Laptop with USB Receiver Comfortable Click Computer Mice, 6 Buttons Optical Mouse (White)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers-intl-ship_sr_pg1_1?ie=UTF8&adId=A0362074S7T3NREGTI8E&url=%2FMultifunctional-Wireless-Cimetech-Cordless-Comfortable%2Fdp%2FB089NGJM8X%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dmouse%26qid%3D1594461956%26s%3Dcomputers-intl-ship%26sr%3D1-11-spons%26psc%3D1&qualifier=1594461955&id=5941672971974881&widgetName=sp_mtf,4.2 out of 5 stars,167,$6.99,Mouse
