,name,product_url,rating,review_count,price,product_type
0,EVanlak DispalyPort Headless Ghost Display Emulator for PC 4K DP Dummy Plug (fit Headless 1080@60Hz-3840x2160@17hz)-3Pack,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers-intl-ship_sr_pg1_1?ie=UTF8&adId=A06108363P349IDK8P7SH&url=%2FEVanlak-DispalyPort-Headless-Emulator-3840x2160%2Fdp%2FB07YLQZXKY%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dprocessor%26qid%3D1594554493%26s%3Dcomputers-intl-ship%26sr%3D1-1-spons%26psc%3D1&qualifier=1594554493&id=5863820213863144&widgetName=sp_atf,5.0 out of 5 stars,7,$16.99,Smartphone
1,"AMD Ryzen 5 3600 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Stealth Cooler",https://www.amazon.com/AMD-Ryzen-3600-12-Thread-Processor/dp/B07STGGQ18/ref=sr_1_2?dchild=1&keywords=processor&qid=1594554493&s=computers-intl-ship&sr=1-2,4.8 out of 5 stars,"5,045",$171.89,Smartphone
2,AMD Ryzen 5 2600 Processor with Wraith Stealth Cooler - YD2600BBAFBOX,https://www.amazon.com/AMD-Processor-Wraith-Stealth-Cooler/dp/B07B41WS48/ref=sr_1_3?dchild=1&keywords=processor&qid=1594554493&s=computers-intl-ship&sr=1-3,4.8 out of 5 stars,"6,771",$141.00,Smartphone
3,"AMD Ryzen 7 3700X 8-Core, 16-Thread Unlocked Desktop Processor with Wraith Prism LED Cooler",https://www.amazon.com/AMD-Ryzen-3700X-16-Thread-Processor/dp/B07SXMZLPK/ref=sr_1_4?dchild=1&keywords=processor&qid=1594554493&s=computers-intl-ship&sr=1-4,4.8 out of 5 stars,"2,706",$282.56,Smartphone
4,Intel Core i9-9900K Desktop Processor 8 Cores up to 5.0 GHz Turbo unlocked LGA1151 300 Series 95W,https://www.amazon.com/Intel-i9-9900K-Desktop-Processor-Unlocked/dp/B005404P9I/ref=sr_1_5?dchild=1&keywords=processor&qid=1594554493&s=computers-intl-ship&sr=1-5,4.8 out of 5 stars,"2,221",$479.99,Smartphone
5,Intel Core i5-9400 Desktop Processor 6 Cores up to 4.1 GHz Turbo LGA1151 300 Series 65W Processors BX80684I59400,https://www.amazon.com/Intel-i5-9400-Processor-Processors-984507/dp/B07MGZ9FJZ/ref=sr_1_6?dchild=1&keywords=processor&qid=1594554493&s=computers-intl-ship&sr=1-6,4.6 out of 5 stars,168,$154.99,Smartphone
6,Intel Core i7-9700 Desktop Processor 8 Cores up to 4.7 GHz LGA1151 300 Series 65W,https://www.amazon.com/Intel-i7-9700-Desktop-Processor-LGA1151/dp/B07S6CRLVD/ref=sr_1_7?dchild=1&keywords=processor&qid=1594554493&s=computers-intl-ship&sr=1-7,4.6 out of 5 stars,110,$319.50,Smartphone
7,"AMD Ryzen 9 3950X 16-Core, 32-Thread Unlocked Desktop Processor, Without Cooler",https://www.amazon.com/AMD-Ryzen-3950X-32-Thread-Processor/dp/B07ZTYKLZW/ref=sr_1_8?dchild=1&keywords=processor&qid=1594554493&s=computers-intl-ship&sr=1-8,4.9 out of 5 stars,475,$689.99,Smartphone
8,Intel Core i7-10700K Desktop Processor 8 Cores up to 5.1 GHz Unlocked  LGA1200 (Intel 400 Series Chipset) 125W (BX8070110700K),https://www.amazon.com/Intel-i7-10700K-Processor-Unlocked-BX8070110700K/dp/B086ML4XSB/ref=sr_1_9?dchild=1&keywords=processor&qid=1594554493&s=computers-intl-ship&sr=1-9,4.7 out of 5 stars,50,$442.95,Smartphone
9,Intel Core i5-9400F Desktop Processor 6 Cores 4.1 GHz Turbo Without Graphics,https://www.amazon.com/Intel-Core-i5-9400F-Procesador-sobremesa/dp/B07MRCGQQ4/ref=sr_1_10?dchild=1&keywords=processor&qid=1594554493&s=computers-intl-ship&sr=1-10,4.7 out of 5 stars,"1,558",$166.90,Smartphone
10,"Intel Core i3-10100 Desktop Processor 4 Cores up to 4.3 GHz  LGA1200 (Intel 400 Series Chipset) 65W, Model Number: BX8070110100",https://www.amazon.com/Intel-i3-10100-Desktop-Processor-LGA1200/dp/B086MMRW87/ref=sr_1_11?dchild=1&keywords=processor&qid=1594554493&s=computers-intl-ship&sr=1-11,5.0 out of 5 stars,3,,Smartphone
11,"AMD Ryzen 9 3900XT 12-core, 24-Threads Unlocked Desktop Processor Without Cooler",https://www.amazon.com/AMD-Ryzen-3900XT-24-Threads-Processor/dp/B089WD454D/ref=sr_1_12?dchild=1&keywords=processor&qid=1594554493&s=computers-intl-ship&sr=1-12,,,$498.00,Smartphone
12,"AMD Ryzen 5 3600X 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Spire Cooler",https://www.amazon.com/AMD-Ryzen-3600X-12-Thread-Processor/dp/B07SQBFN2D/ref=sr_1_13?dchild=1&keywords=processor&qid=1594554493&s=computers-intl-ship&sr=1-13,4.7 out of 5 stars,"2,060",$219.98,Smartphone
13,"Braun FP3020 12 Cup Food Processor Ultra Quiet Powerful motor, includes 7 Attachment Blades + Chopper and Citrus Juicer , Made in Europe with German Engineering",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_computers-intl-ship_sr_pg2_1?ie=UTF8&adId=A0746402C9XVVU1OJFAX&url=%2FBraun-Processor-Powerful-Attachment-Engineering%2Fdp%2FB00VF0RYK8%2Fref%3Dsr_1_14_sspa%3Fdchild%3D1%26keywords%3Dprocessor%26qid%3D1594554220%26s%3Dcomputers-intl-ship%26sr%3D1-14-spons%26psc%3D1&qualifier=1594554494&id=1063201311083711&widgetName=sp_atf_next,4.4 out of 5 stars,"1,244",$169.99,Smartphone
14,"AMD Ryzen 9 3900X 12-core, 24-thread unlocked desktop processor with Wraith Prism LED Cooler",https://www.amazon.com/AMD-Ryzen-3900X-24-Thread-Processor/dp/B07SXMZLP9/ref=sr_1_15?dchild=1&keywords=processor&qid=1594554220&s=computers-intl-ship&sr=1-15,4.9 out of 5 stars,"2,088",$422.68,Smartphone
15,Intel Core i5-9600K Desktop Processor 6 Cores up to 4.6 GHz Turbo unlocked LGA1151 300 Series 95W,https://www.amazon.com/Intel-i5-9600K-Desktop-Processor-Unlocked/dp/B07HHLX1R8/ref=sr_1_16?dchild=1&keywords=processor&qid=1594554220&s=computers-intl-ship&sr=1-16,4.6 out of 5 stars,"4,429",,Smartphone
16,AMD Ryzen 7 2700X Processor with Wraith Prism LED Cooler - YD270XBGAFBOX,https://www.amazon.com/AMD-Ryzen-Processor-Wraith-Cooler/dp/B07B428M7F/ref=sr_1_17?dchild=1&keywords=processor&qid=1594554220&s=computers-intl-ship&sr=1-17,4.8 out of 5 stars,"5,869",$349.00,Smartphone
